FrameID,Right,PalmX,PalmY,PalmZ,ThumbX,ThumbY,ThumbZ,IndexX,IndexY,IndexZ,MiddleX,MiddleY,MiddleZ,RingX,RingY,RingZ,PinkyX,PinkyY,PinkyZ
893941,True,43.98073959350586,264.1321105957031,181.06988525390625,-36.799278259277344,254.18136596679688,144.62030029296875,-2.834604024887085,269.44085693359375,94.01524353027344,17.71027374267578,265.6327209472656,79.31232452392578,32.247371673583984,271.2073669433594,92.07620239257812,59.622982025146484,269.3274230957031,104.77294921875
893942,True,43.23490905761719,263.6783142089844,178.82737731933594,-38.638362884521484,255.58692932128906,142.31930541992188,-2.243929624557495,270.1817932128906,91.03018951416016,18.794099807739258,266.4118957519531,76.44532012939453,33.837989807128906,271.2752380371094,89.0615005493164,61.04030990600586,269.2485656738281,102.5982437133789
893943,True,42.655330657958984,263.3523864746094,174.27572631835938,-41.55343246459961,257.37432861328125,138.89608764648438,-1.5683523416519165,271.2208557128906,85.8621826171875,20.288911819458008,268.44598388671875,71.18980407714844,36.48373794555664,273.68804931640625,83.519287109375,63.38888931274414,270.1947021484375,97.74482727050781
893944,True,42.12794494628906,263.66546630859375,168.0401153564453,-45.29143524169922,258.99017333984375,135.15386962890625,-1.5547150373458862,272.1293640136719,79.25145721435547,21.65485954284668,271.6316833496094,64.16556549072266,38.92740249633789,276.1773681640625,76.44609069824219,66.78846740722656,271.1216125488281,90.70977020263672
893945,True,41.480045318603516,263.5947265625,162.0736846923828,-48.68067169189453,259.7367248535156,131.47935485839844,-1.6178773641586304,272.1968078613281,72.75535583496094,23.072479248046875,274.0927734375,57.44887161254883,41.499515533447266,277.6595764160156,69.5580062866211,70.1641845703125,271.894287109375,84.25971221923828
893946,True,41.03737258911133,263.1771545410156,156.01632690429688,-51.65353012084961,260.8456726074219,128.42837524414062,-2.5228054523468018,271.59442138671875,66.61279296875,23.42826271057129,275.0856628417969,50.866886138916016,43.52696228027344,277.9563293457031,62.301513671875,72.71006774902344,271.4073181152344,77.57079315185547
893947,True,39.617958068847656,262.7255859375,149.84616088867188,-53.870704650878906,261.01104736328125,122.57270050048828,-3.5488698482513428,271.4568176269531,59.782318115234375,24.254886627197266,276.7027587890625,43.93395233154297,46.37610626220703,279.2359619140625,54.63661193847656,75.14923095703125,271.1328430175781,71.31350708007812
893948,True,39.15744400024414,261.9564208984375,145.92391967773438,-54.81631851196289,259.8739929199219,119.43465423583984,-4.955538272857666,270.80413818359375,55.74529266357422,24.58628273010254,277.8517150878906,39.458534240722656,48.43680953979492,279.8482666015625,49.273624420166016,76.99536895751953,270.24285888671875,66.83277893066406
893949,True,38.798885345458984,261.1788635253906,143.14059448242188,-55.435733795166016,258.7405700683594,117.26615905761719,-6.189550876617432,270.5455627441406,52.69493865966797,24.900171279907227,278.8304748535156,36.286888122558594,49.84881591796875,279.83514404296875,45.41106414794922,78.37705993652344,269.4223937988281,63.514442443847656
893950,True,37.840553283691406,260.30059814453125,138.46337890625,-57.20903015136719,257.7472839355469,113.8118667602539,-7.654066562652588,269.9313659667969,47.492103576660156,25.021718978881836,279.4958801269531,31.23495864868164,50.901031494140625,279.6596984863281,39.77785110473633,79.4400863647461,268.6451721191406,58.48038864135742
893951,True,37.320621490478516,258.9239501953125,133.3966522216797,-59.108577728271484,256.3742980957031,111.30242919921875,-9.321968078613281,269.12493896484375,42.08808517456055,24.624881744384766,279.2192077636719,25.9647216796875,51.6752815246582,278.91326904296875,33.65522766113281,80.64049530029297,267.60980224609375,52.7965087890625
893952,True,36.85140609741211,258.28173828125,130.4303436279297,-60.490234375,255.82310485839844,110.02620697021484,-10.231197357177734,268.5340576171875,38.74466323852539,24.496248245239258,278.9913330078125,22.786130905151367,52.2877197265625,278.3795471191406,29.99822235107422,81.67571258544922,267.1725769042969,49.576473236083984
893953,True,36.66590118408203,256.9169006347656,126.51921844482422,-62.260093688964844,255.43014526367188,109.70313262939453,-11.53056526184082,267.8923645019531,34.77198028564453,24.000720977783203,278.846923828125,18.72395896911621,52.89409637451172,278.1764831542969,25.263864517211914,83.04125213623047,266.78173828125,45.13096618652344
893954,True,36.0534782409668,255.62094116210938,122.82720947265625,-63.358028411865234,253.44273376464844,107.0079574584961,-12.193014144897461,266.6884460449219,30.464996337890625,24.11753273010254,278.00543212890625,14.577033996582031,53.7276725769043,277.4563293457031,21.03849220275879,84.53553009033203,266.29010009765625,41.50448989868164
893955,True,35.59370422363281,254.62039184570312,119.80455017089844,-64.00053405761719,251.9920654296875,104.69577026367188,-12.933887481689453,266.3489990234375,26.97645378112793,23.997102737426758,277.56146240234375,11.085895538330078,54.25984573364258,276.7846374511719,17.49382209777832,85.56965637207031,265.443115234375,38.35293960571289
893956,True,35.062721252441406,253.46356201171875,117.39543151855469,-64.56887817382812,250.5832977294922,102.63119506835938,-13.529468536376953,266.5348815917969,24.060653686523438,23.92877960205078,277.1286926269531,8.2778959274292,54.702293395996094,276.0854797363281,14.677997589111328,86.28878784179688,264.48492431640625,35.92021942138672
893957,True,34.85060501098633,252.33023071289062,115.50634765625,-64.84917449951172,249.3258056640625,101.3913345336914,-14.03732967376709,266.4659423828125,21.894817352294922,23.807397842407227,276.73712158203125,6.053933620452881,55.01161575317383,275.4153137207031,12.348958015441895,86.89994049072266,263.34027099609375,33.841957092285156
